"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1385","TC08 - Verify validation error for empty Employment Status Name","OrangeHRM_E2E_Suite","Wed Dec 24 22:41:43 UTC 2025","passed","Wed Dec 24 22:41:44 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyEmploymentStatus_EmptyFields_ShowError"
"","665","TC11 - Verify Reset Search Filters","OrangeHRM_E2E_Suite","Wed Dec 24 22:59:09 UTC 2025","passed","Wed Dec 24 22:59:10 UTC 2025","project_orangehrm.Test.AdminUserManagementTest","Step2_PIM_Foundation","project_orangehrm.Test.AdminUserManagementTest","verifyUserManagement_ResetFilter_Success"
"","5165","TC13 - Verify Language Lifecycle: Create","OrangeHRM_E2E_Suite","Wed Dec 24 22:47:42 UTC 2025","passed","Wed Dec 24 22:47:48 UTC 2025","project_orangehrm.Test.Admin_Qualifications_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Qualifications_Test","verifyLanguages_Lifecycle_Success"
"","17114","TC12 - Verify updating Employment Status Name","OrangeHRM_E2E_Suite","Wed Dec 24 22:42:21 UTC 2025","passed","Wed Dec 24 22:42:38 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyEmploymentStatus_Update_Success"
"","1565","TC04 - Verify Add Employee Validation","OrangeHRM_E2E_Suite","Wed Dec 24 22:54:00 UTC 2025","passed","Wed Dec 24 22:54:02 UTC 2025","project_orangehrm.Test.PIM_Employee_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_Employee_Test","verifyEmployee_EmptyFields_ShowError"
"","6247","TC06 - Verify Dependent Add","OrangeHRM_E2E_Suite","Wed Dec 24 22:55:13 UTC 2025","passed","Wed Dec 24 22:55:19 UTC 2025","project_orangehrm.Test.PIM_EmployeeDetails_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_EmployeeDetails_Test","verifyDependent_Add_Success"
"","426","TC09 - Verify Search by Status Filter","OrangeHRM_E2E_Suite","Wed Dec 24 22:59:01 UTC 2025","passed","Wed Dec 24 22:59:01 UTC 2025","project_orangehrm.Test.AdminUserManagementTest","Step2_PIM_Foundation","project_orangehrm.Test.AdminUserManagementTest","verifyUserManagement_SearchByStatus_Success"
"","13473","TC12 - Verify Education Add","OrangeHRM_E2E_Suite","Wed Dec 24 22:56:24 UTC 2025","broken","Wed Dec 24 22:56:37 UTC 2025","project_orangehrm.Test.PIM_EmployeeDetails_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_EmployeeDetails_Test","verifyQualifications_Education_Add_Success"
"","1605","TC09 - Verify validation error for empty Unit Name in Structure","OrangeHRM_E2E_Suite","Wed Dec 24 22:45:07 UTC 2025","passed","Wed Dec 24 22:45:08 UTC 2025","project_orangehrm.Test.AdminOrganizationTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminOrganizationTest","verifyStructure_EmptyFields_ShowError"
"","2005","TC02 - Verify Email Configuration: Update SMTP Settings and Validation","OrangeHRM_E2E_Suite","Wed Dec 24 22:49:24 UTC 2025","passed","Wed Dec 24 22:49:26 UTC 2025","project_orangehrm.Test.Admin_Configuration_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Configuration_Test","verifyEmailConfiguration_UpdateAndValidation"
